CustomerID,Recency,Frequency,Monetary
CUS-00296,68,19,1046.99
CUS-00297,66,13,1727.02
CUS-00298,55,6,278.68
CUS-00299,135,4,242.37
CUS-00300,29,1,138.46
CUS-00301,271,7,103.03
CUS-00302,20,22,2348.38
CUS-00303,288,3,94.45
CUS-00304,19,4,546.54
CUS-00305,57,13,1302.54
CUS-00306,59,9,654.91
CUS-00307,60,11,497.96
CUS-00308,369,5,337.24
CUS-00309,114,6,201.77
CUS-00310,6,11,1319.19
CUS-00311,50,16,550.88
CUS-00312,75,22,2026.11
CUS-00313,12,8,550.89
CUS-00314,17,3,169.53
CUS-00315,104,10,1365.9
CUS-00316,33,6,342.34
CUS-00317,29,7,378.44
CUS-00318,168,5,424.59
CUS-00319,12,8,465.75
CUS-00320,27,6,546.79
CUS-00321,60,12,1230.81
CUS-00322,59,4,661.29
CUS-00323,41,5,1428.35
CUS-00324,118,8,147.86
CUS-00325,42,12,912.04
CUS-00326,162,3,175.05
CUS-00327,257,3,157.42
CUS-00328,215,4,221.39
CUS-00329,151,2,478.13
CUS-00330,17,2,311.18
CUS-00331,45,2,214.71
CUS-00332,22,19,2814.82
CUS-00333,50,1,205.05
CUS-00334,13,4,733.3
CUS-00335,5,16,601.42
CUS-00336,615,2,70.96
CUS-00337,10,10,6821.87
CUS-00338,167,1,114.9
CUS-00339,27,18,2319.91
CUS-00340,15,11,787.93
CUS-00341,14,26,2723.65
CUS-00342,62,17,1929.58
CUS-00343,58,3,116.43
CUS-00344,169,1,185.48
CUS-00345,180,2,264.68
CUS-00346,195,1,88.6
CUS-00347,9,6,541.47
CUS-00348,48,13,1222.89
CUS-00349,96,7,109.55
CUS-00350,8,25,2718.56
CUS-00351,148,5,179.63
CUS-00352,27,18,2832.89
CUS-00353,192,3,200.21
CUS-00354,124,1,150.77
CUS-00355,10,9,399.93
CUS-00356,86,5,840.79
CUS-00357,244,1,135.49
CUS-00358,70,3,244.82
CUS-00359,105,11,471.68
CUS-00360,110,1,286.53
CUS-00361,28,7,952.79
CUS-00362,13,15,6334.37
CUS-00363,9,18,1580.53
CUS-00364,12,33,1550.13
CUS-00365,219,1,294.75
CUS-00366,31,2,147.45
CUS-00367,75,3,148.03
CUS-00368,67,1,331.94
CUS-00369,116,6,561.73
CUS-00370,46,9,2120.49
CUS-00371,80,1,480.52
CUS-00372,96,4,1009.67
CUS-00373,36,9,826.16
CUS-00374,35,11,1084.26
CUS-00375,5,8,831.96
CUS-00376,11,31,2737.57
CUS-00377,93,23,1044.94
CUS-00378,35,6,484.14
CUS-00379,79,7,157.29
CUS-00380,220,1,159.71
CUS-00381,154,1,72.22
CUS-00382,32,9,670.32
CUS-00383,88,1,125.92
CUS-00384,32,5,304.79
CUS-00385,122,4,154.27
CUS-00386,58,12,2551.36
CUS-00387,178,1,479.11
CUS-00388,12,11,721.53
CUS-00389,35,14,1961.16
CUS-00390,53,7,747.79
CUS-00391,185,1,195.11
CUS-00392,25,24,1544.07
CUS-00393,207,1,66.14
CUS-00394,251,1,130.28
CUS-00395,20,15,1169.18
CUS-00396,274,13,993.5
CUS-00397,15,8,3179.54
CUS-00398,74,8,766.23
CUS-00399,79,5,314.57
CUS-00400,176,5,364.68
CUS-00401,67,3,325.11
CUS-00402,40,19,662.02
CUS-00403,363,2,117.31
CUS-00404,6,13,2432.98
CUS-00405,72,6,654.9
CUS-00406,16,8,1192.86
CUS-00407,86,2,666.24
CUS-00408,44,10,765.11
CUS-00409,41,21,3975.58
CUS-00410,12,11,1033.91
CUS-00411,100,1,491.44
CUS-00412,137,3,98.62
CUS-00413,8,23,4037.76
CUS-00414,21,4,400.42
CUS-00415,7,31,3051.17
CUS-00416,65,6,346.88
CUS-00417,35,10,1228.41
CUS-00418,341,4,220.62
CUS-00419,8,19,2502.07
CUS-00420,31,11,1686.34
CUS-00421,106,2,217.97
CUS-00422,9,25,1689.12
CUS-00423,6,11,411.52
CUS-00424,19,13,1111.74
CUS-00425,265,3,117.92
CUS-00426,241,3,208.19
CUS-00427,113,5,588.23
CUS-00428,50,11,772.41
CUS-00429,11,15,2152.04
CUS-00430,24,4,260.74
CUS-00431,57,21,1511.28
CUS-00432,277,1,163.11
CUS-00433,149,1,158.56
CUS-00434,28,7,2266.39
CUS-00435,10,11,1302.72
CUS-00436,7,25,1509.31
CUS-00437,17,11,2326.03
CUS-00438,117,1,717.76
CUS-00439,503,1,147.18
CUS-00440,228,4,263.04
CUS-00441,36,3,353.62
CUS-00442,21,7,2214.38
CUS-00443,106,1,209.57
CUS-00444,5,19,1056.16
CUS-00445,40,10,382.92
CUS-00446,24,2,182.8
CUS-00447,67,7,892.83
CUS-00448,103,3,243.37
CUS-00449,9,8,2052.48
CUS-00450,255,2,170.41
CUS-00451,23,12,598.51
CUS-00452,21,10,199.55
CUS-00453,469,3,70.69
CUS-00454,3,17,3532.17
CUS-00455,26,20,2011.94
CUS-00456,17,12,2437.84
CUS-00457,13,7,639.62
CUS-00458,8,7,915.66
CUS-00459,33,1,287.13
CUS-00460,187,1,104.47
CUS-00461,54,1,94.37
CUS-00462,15,15,1415.05
CUS-00463,26,3,397.16
CUS-00464,34,10,1036.17
CUS-00465,338,1,242.97
CUS-00466,205,3,181.08
CUS-00467,289,2,418.03
CUS-00468,49,8,725.44
CUS-00469,26,11,2570.77
CUS-00470,155,5,698.2
CUS-00471,1,8,546.9
CUS-00472,28,17,891.89
CUS-00473,14,12,1843.25
CUS-00474,16,14,2050.23
CUS-00475,75,6,495.39
CUS-00476,82,4,246.29
CUS-00477,115,2,903.74
CUS-00478,83,10,739.0
CUS-00479,157,5,353.72
CUS-00480,19,7,760.5
CUS-00481,37,9,1153.94
CUS-00482,51,12,1511.94
CUS-00483,438,4,315.74
CUS-00484,83,4,721.99
CUS-00485,16,14,5534.36
CUS-00486,54,14,971.23
CUS-00487,30,8,1838.72
CUS-00488,79,5,876.03
CUS-00489,80,1,157.29
CUS-00490,259,5,197.47
CUS-00491,109,2,497.77
CUS-00492,150,5,140.48
CUS-00493,280,1,143.22
CUS-00494,50,4,307.79
CUS-00495,221,1,192.54
CUS-00496,204,8,122.88
CUS-00497,50,12,1178.28
CUS-00498,570,5,344.39
CUS-00499,17,6,557.23
CUS-00500,116,12,980.38
CUS-00501,269,4,232.62
CUS-00502,32,7,600.92
CUS-00503,17,15,614.88
CUS-00504,104,3,678.86
CUS-00505,71,4,261.73
CUS-00506,101,3,144.83
CUS-00507,31,10,924.39
CUS-00508,30,9,766.28
CUS-00509,25,14,892.14
CUS-00510,18,11,2039.02
CUS-00511,20,16,8563.4
CUS-00512,29,7,1495.33
CUS-00513,40,8,2192.23
CUS-00514,25,1,401.64
CUS-00515,67,12,617.54
CUS-00516,67,21,3233.17
CUS-00517,168,7,194.08
CUS-00518,101,3,249.95
CUS-00519,15,24,1116.75
CUS-00520,39,8,723.74
CUS-00521,19,10,1199.88
CUS-00522,45,6,1585.43
CUS-00523,6,8,2329.44
CUS-00524,102,2,198.13
CUS-00525,12,10,2221.88
CUS-00526,10,5,597.05
CUS-00527,32,17,2381.39
CUS-00528,46,5,1063.74
CUS-00529,188,1,153.07
CUS-00530,47,8,1744.9
CUS-00531,301,3,175.86
CUS-00532,135,5,148.93
CUS-00533,72,8,527.08
CUS-00534,88,5,182.33
CUS-00535,10,22,3906.0
CUS-00536,16,8,805.82
CUS-00537,73,3,266.6
CUS-00538,9,9,792.53
CUS-00539,38,20,4125.06
CUS-00540,15,10,404.38
CUS-00541,71,14,1984.19
CUS-00542,42,7,217.47
CUS-00543,32,12,2460.99
CUS-00544,24,12,990.61
CUS-00545,15,12,1688.1
CUS-00546,78,3,656.12
CUS-00547,116,6,528.13
CUS-00548,3,20,2403.29
CUS-00549,20,1,230.07
CUS-00550,9,6,819.43
CUS-00551,31,8,1183.4
CUS-00552,14,15,1894.81
CUS-00553,7,14,949.01
CUS-00554,21,5,679.45
CUS-00555,6,23,2203.67
CUS-00556,107,12,1024.69
CUS-00557,17,7,815.26
CUS-00558,48,6,394.04
CUS-00559,39,1,78.48
CUS-00560,216,4,265.83
CUS-00561,9,21,4568.31
CUS-00562,23,6,329.09
CUS-00563,14,14,3177.77
CUS-00564,38,2,95.77
CUS-00565,198,3,136.22
CUS-00566,161,5,234.47
CUS-00567,94,7,115.49
CUS-00568,3,26,2398.88
CUS-00569,23,6,552.73
CUS-00570,79,5,149.19
CUS-00571,21,11,432.93
CUS-00572,62,20,687.87
CUS-00573,48,7,210.64
CUS-00574,283,8,180.99
CUS-00575,57,11,847.61
CUS-00576,53,8,654.74
CUS-00577,62,5,1446.99
CUS-00578,111,7,217.64
CUS-00579,29,9,1397.29
CUS-00580,142,5,410.78
CUS-00581,50,12,794.14
CUS-00582,88,4,110.38
CUS-00583,12,13,1904.21
CUS-00584,122,3,1213.02
CUS-00585,9,16,1271.59
CUS-00586,153,1,372.29
CUS-00587,9,14,3518.18
CUS-00588,93,10,678.58
CUS-00589,4,24,4590.06
CUS-00590,17,13,3476.63
CUS-00591,41,11,339.39
CUS-00592,31,13,1011.37
CUS-00593,82,6,561.75
CUS-00594,456,5,357.76
CUS-00595,23,18,5588.12
CUS-00596,21,7,868.08
CUS-00597,115,6,591.52
CUS-00598,144,1,97.1
CUS-00599,18,10,483.48
CUS-00600,224,7,210.59
CUS-00601,53,7,648.36
CUS-00602,160,3,253.25
CUS-00603,55,6,1730.76
CUS-00604,156,1,114.08
CUS-00605,52,8,1865.57
CUS-00606,89,2,54.28
CUS-00607,73,16,3712.28
CUS-00608,16,30,2249.79
CUS-00609,192,5,121.83
CUS-00610,158,9,1182.42
CUS-00611,291,2,251.09
CUS-00612,81,5,184.74
CUS-00613,21,16,1403.7
CUS-00614,17,25,693.0
CUS-00615,10,5,740.02
CUS-00616,126,1,206.63
CUS-00617,84,4,369.79
CUS-00618,59,10,460.05
CUS-00619,9,26,5154.0
CUS-00620,13,10,1219.75
CUS-00621,97,1,135.01
CUS-00622,31,8,611.07
CUS-00623,4,7,1452.24
CUS-00624,57,14,1158.02
CUS-00625,22,8,776.1
CUS-00626,23,2,734.44
CUS-00627,273,6,172.6
CUS-00628,9,21,2491.61
CUS-00629,49,3,105.03
CUS-00630,198,3,84.04
CUS-00631,8,13,828.95
CUS-00632,16,12,2165.33
CUS-00633,11,15,2097.08
CUS-00634,49,7,470.01
CUS-00635,3,7,4260.94
CUS-00636,7,30,5549.48
CUS-00637,49,1,161.57
CUS-00638,240,2,122.68
CUS-00639,29,3,223.86
CUS-00640,38,10,498.36
CUS-00641,586,2,99.39
CUS-00642,183,8,224.97
CUS-00643,14,25,4130.24
CUS-00644,181,10,373.57
CUS-00645,35,5,214.66
CUS-00646,54,10,462.03
CUS-00647,26,12,1696.39
CUS-00648,58,6,938.15
CUS-00649,199,3,121.07
CUS-00650,23,21,8969.05
CUS-00651,61,8,1074.5
CUS-00652,81,4,789.25
CUS-00653,184,3,133.1
CUS-00654,120,8,1673.0
CUS-00655,27,9,584.39
CUS-00656,161,11,793.56
CUS-00657,25,24,705.16
CUS-00658,23,5,273.83
CUS-00659,113,2,207.96
CUS-00660,28,3,219.76
CUS-00661,37,4,230.72
CUS-00662,75,10,2044.19
CUS-00663,10,10,1879.39
CUS-00664,1,14,3862.98
CUS-00665,91,2,810.0
CUS-00666,292,4,192.41
CUS-00667,147,7,175.64
CUS-00668,58,4,660.08
CUS-00669,18,7,1150.42
CUS-00670,80,5,675.02
CUS-00671,3,14,2273.14
CUS-00672,26,2,189.31
CUS-00673,20,11,609.62
CUS-00674,37,3,133.32
CUS-00675,194,3,309.43
CUS-00676,70,12,1001.59
CUS-00677,86,12,736.14
CUS-00678,38,9,381.03
CUS-00679,9,16,4344.37
CUS-00680,107,5,1090.13
CUS-00681,6,12,1532.54
CUS-00682,14,9,2484.49
CUS-00683,11,16,3609.02
CUS-00684,27,5,981.34
CUS-00685,193,1,79.87
CUS-00686,183,3,414.73
CUS-00687,44,15,1422.95
CUS-00688,102,11,1307.1
CUS-00689,309,5,131.78
CUS-00690,210,1,69.65
CUS-00691,53,15,478.29
CUS-00692,40,9,682.25
CUS-00693,20,4,509.06
CUS-00694,136,7,328.83
CUS-00695,94,19,2467.74
CUS-00696,47,5,1088.25
CUS-00697,158,3,102.59
CUS-00698,96,1,131.47
CUS-00699,231,2,246.77
CUS-00700,59,4,445.93
CUS-00701,57,5,271.78
CUS-00702,50,9,2933.05
CUS-00703,10,19,1433.63
CUS-00704,24,9,1138.76
CUS-00705,44,8,376.36
CUS-00706,243,3,181.97
CUS-00707,125,3,219.77
CUS-00708,255,1,131.92
CUS-00709,45,11,128.04
CUS-00710,5,11,1125.79
CUS-00711,16,7,518.46
CUS-00712,32,5,251.43
CUS-00713,217,3,228.4
CUS-00714,22,7,471.22
CUS-00715,199,2,262.13
CUS-00716,12,18,2519.71
CUS-00717,34,3,138.22
CUS-00718,14,17,2875.18
CUS-00719,302,4,70.97
CUS-00720,68,10,531.69
